
S/No,Position,Grade,Positions,Reference Number
,ACADEMIC POSITIONS
1.,Associate Professor,14,1,KarU/HR/AP/2024
2.,Senior Lecturer,13,5,KarU/HR/SL/2024
3.,Lecturer,12,20,KarU/HR/LEC/2024
4.,Tutorial Fellow,11,3,KarU/HR/TF/2024
NON – ACADEMIC POSITIONS
5.,Senior Assistant Registrar (Human Resource),13,1,KarU/HR/SAR/HR/2024
6.,Corporate Communications Officer,12,1,KarU/HR/CCO/2024
7.,Medical Officer,12,1,KarU/HR/MO/2024
8.,Moodle Instructional Designer,12,1,KarU/HR/MID/2024
9.,Internal Auditor I,12,1,KarU/HR/IA/2024
10.,Senior Assistant Systems Librarian,11,1,KarU/HR/SASL/2024
11.,Assistant Games Tutor I,11,1,KarU/HR/ AGT.I/2024
12.,Dynamics 365 BC Backend Developer,10,1,KarU/HR/D365BC/2024
13.,Medical Physiology Laboratory Technologist,10,1,KarU/HR/MPLT/2024
14.,Human Anatomy Laboratory Technologist,10,1,KarU/HR/HALT/2024
15.,Nursing Skills Laboratory Technician,10,1,KarU/HR/NSL/2024
16.,Medical Laboratory Technologist,10,1,KarU/HR/MLT/2024
17.,Clinical Medicine Instructor,10,1,KarU/HR/CMI/2024
18.,Assistant Games Tutor II,10,1,KarU/HR/AGT.II/2024
19.,Webmaster,9,1,KarU/HR/WM/2024
20.,Computer Technician I,8,2,KarU/HR/CT/2024
21.,Assistant Computer Technician II,7,2,KarU/HR/ ACT.II/2024
22.,Assistant Computer Technician III,6,2,KarU/HR/ ACT.III/2024
23.,Animal Health Technician,6,1,KarU/ HR/AHT/ 2024
